name,phys_def,blunt_def,thrust_def,blood_def,arc_def,fire_def,bolt_def,slow_psn_res,rapid_psn_res,frenzy_res,beasthood,type
Ashen Hunter Garb,100,110,80,110,70,50,70,25,45,60,70,Chest
Beast Hide Garb,120,120,70,80,60,40,50,38,31,20,66,Chest
Black Church Garb,90,90,110,110,110,100,110,60,58,9,40,Chest
Butcher Garb,100,60,100,60,90,70,110,53,59,33,29,Chest
Bone Ash Armor,110,80,100,40,40,140,140,33,29,41,25,Chest
Cainhurst Armor,120,70,110,120,40,80,30,36,40,26,22,Chest
Charred Hunter Garb,110,100,70,100,40,140,60,29,37,45,58,Chest
Choir Garb,80,80,80,80,150,110,110,46,38,16,38,Chest
Constable's Garb,90,100,70,80,100,110,120,44,35,23,52,Chest
Crowfeather Garb,100,110,80,120,70,80,70,29,37,46,21,Chest
Decorative Old Hunter Garb,110,70,80,110,60,120,50,36,23,38,48,Chest
Doll Clothes,30,30,30,40,40,50,40,42,31,38,31,Chest
Executioner Garb,90,120,110,100,110,90,100,53,45,17,45,Chest
Foreign Garb,60,60,40,50,40,60,60,27,19,27,16,Chest
Gascoigne's Garb,90,110,100,80,110,110,100,52,40,23,45,Chest
Gehrman's Hunter Garb,100,80,80,100,50,80,70,33,37,52,46,Chest
Graveguard Robe,80,80,90,80,100,80,110,50,49,49,50,Chest
Harrowed Garb,120,80,90,90,110,90,110,56,58,9,44,Chest
Henryk's Hunter Garb,100,100,80,80,70,100,150,21,41,45,60,Chest
Hunter Garb,110,110,80,110,40,110,70,17,33,48,44,Chest
Hunter Garb,110,100,80,110,40,110,70,17,33,56,58,Chest
Khaki Haori,80,60,70,90,80,130,70,37,34,25,18,Chest
Knight's Garb,90,70,80,140,40,50,80,26,43,40,36,Chest
Madman Garb,80,70,80,80,120,110,110,59,52,4,29,Chest
Maria Hunter Garb,80,70,80,150,70,60,80,20,51,30,16,Chest
Noble Dress,50,60,40,130,60,40,70,23,31,27,38,Chest
Old Hunter Garb,100,70,80,100,70,120,50,19,19,44,48,Chest
Student Uniform,70,70,70,100,140,60,70,42,31,35,35,Chest
Student Uniform Variant,70,60,60,90,140,60,70,42,31,35,45,Chest
Sweaty Clothes,60,50,50,40,40,100,60,27,35,38,27,Chest
Tomb Prospector Garb,90,90,100,90,120,100,110,55,57,13,45,Chest
White Church Garb,80,80,110,120,110,100,110,63,55,11,36,Chest
Yahar'gul Black Garb,110,90,90,80,60,40,60,45,37,41,37,Chest
Yharnam Hunter Garb,110,80,90,90,80,100,90,48,40,41,48,Chest
