name,phys_def,blunt_def,thrust_def,blood_def,arc_def,fire_def,bolt_def,slow_psn_res,rapid_psn_res,frenzy_res,beasthood,type
Beak Mask,50,40,40,60,30,40,30,8,10,40,2,Head
Black Church Hat,40,40,40,50,60,50,50,20,19,2,13,Head
Black Hood,20,30,20,30,20,30,30,8,6,8,4,Head
Black Hooded Iron Helm,60,40,10,20,20,30,20,13,12,12,8,Head
Blindfold Cap,30,40,40,40,70,50,50,15,13,4,13,Head
Bone Ash Mask,60,30,40,20,20,60,60,11,9,14,8,Head
Bradors Testimony,50,60,50,50,20,20,30,18,10,6,56,Head
Butcher Mask,50,30,50,30,40,30,50,20,19,11,9,Head
Cainhurst Helmet,60,40,40,60,20,40,10,12,13,8,7,Head
Crown of Illusions,40,30,20,70,50,30,20,7,7,4,4,Head
Doll Hat,10,10,10,20,20,30,20,14,10,13,10,Head
Enlarged Head,20,60,0,20,50,20,20,6,6,1,0,Head
Gascoigne's Cap,40,40,30,40,50,50,50,17,13,7,15,Head
Gehrman's Hunter Cap,40,40,40,50,30,40,30,11,12,17,15,Head
Gold Ardeo,50,40,60,40,40,40,70,12,15,13,16,Head
Graveguard Mask,40,40,50,40,50,40,50,16,16,32,13,Head
Grey Wolf Cap,50,40,40,50,20,50,30,9,12,19,37,Head
Harrowed Hood,60,40,50,40,60,50,50,20,19,2,18,Head
Henryk's Hunter Cap,50,50,40,40,20,30,60,7,14,15,20,Head
Hunter Hat,50,50,40,50,20,50,30,5,11,14,16,Head
Iron Yahar'gul Helm,60,40,10,20,20,30,10,5,7,9,23,Head
Knight's Wig,30,40,40,60,40,30,50,8,14,13,12,Head
Madman Hood,40,30,40,40,60,50,50,18,17,1,9,Head
Maria Hunter Cap,40,40,40,70,30,40,50,6,17,10,4,Head
Master's Iron Helm,60,20,50,50,20,30,0,6,10,13,23,Head
Mensis Cage,60,20,10,30,40,20,10,8,13,2,5,Head
Old Hunter Cap,50,30,40,50,30,60,20,11,5,13,19,Head
Old Hunter Top Hat,30,60,40,30,30,20,40,8,5,17,13,Head
One-Eyed Iron Helm,60,20,50,50,20,30,0,6,10,13,23,Head
Rumpled Yharnam Hat,20,20,20,10,20,60,30,8,11,13,8,Head
Tomb Prospector Hood,40,40,50,50,60,50,50,18,16,4,15,Head
Top Hat,30,70,40,20,20,30,40,14,13,10,8,Head
White Church Hat,30,40,40,60,60,60,60,21,18,3,12,Head
Yamamura Hunter Hat,50,30,40,50,30,60,20,5,11,19,13,Head
Yharnam Hunter Cap,50,40,40,40,50,50,50,16,13,14,16,Head
