name,phys_def,blunt_def,thrust_def,blood_def,arc_def,fire_def,bolt_def,slow_psn_res,rapid_psn_res,frenzy_res,beasthood,type
Arianna's Shoes,40,50,40,50,40,40,50,14,18,16,22,Leg
Ashen Hunter Trousers,60,50,50,60,50,50,50,15,26,30,37,Leg
Black Church Trousers-Dress,50,50,60,70,60,60,60,34,33,5,23,Leg
Bloodied Trousers,40,50,40,50,50,40,50,11,16,16,46,Leg
Bone Ash Leggings,60,40,50,50,40,80,70,19,17,24,15,Leg
Butcher Trousers,60,40,60,50,50,50,60,32,34,19,17,Leg
Cainhurst Leggings,60,40,60,70,40,40,40,21,23,15,13,Leg
Charred Hunter Trousers,60,60,50,60,40,80,40,17,21,27,33,Leg
Choir Trousers,50,50,50,60,80,60,60,26,22,9,22,Leg
Constable Trousers,60,60,50,50,50,60,70,25,18,14,35,Leg
Crowfeather Trousers,50,70,50,70,40,50,50,17,21,27,12,Leg
Decorative Old Hunter Trousers,70,50,50,70,40,70,40,19,13,20,29,Leg
Doll Skirt,40,40,40,50,50,60,50,24,18,22,18,Leg
Executioner Trousers,50,70,50,60,60,60,50,30,26,10,26,Leg
Foreign Trousers,40,50,40,40,50,50,50,16,11,16,9,Leg
Gascoigne's Trousers,50,60,60,50,60,60,50,31,23,14,26,Leg
Gehrman's Hunter Trousers,50,50,50,60,50,50,50,19,21,29,27,Leg
Graveguard Kilt,50,50,60,50,60,60,60,29,28,28,23,Leg
Harrowed Trousers,70,50,50,60,60,60,60,38,33,5,27,Leg
Henryk's Hunter Trousers,50,60,60,50,50,60,80,12,24,25,34,Leg
Hunter Trousers,60,60,50,60,50,60,50,10,19,30,27,Leg
Knight's Trousers/Dress,50,50,60,70,50,50,50,15,24,23,21,Leg
Madman Leggings,50,50,60,50,70,40,60,33,29,2,17,Leg
Maria Hunter Trousers,50,50,60,80,50,50,50,11,30,17,9,Leg
Student Trousers,50,50,50,60,70,50,50,24,18,19,19,Leg
Tomb Prospector Trousers,50,60,60,60,70,60,50,31,29,8,26,Leg
Wine Hakama,40,40,50,50,60,90,50,21,19,19,15,Leg
White Church Trousers/Dress,50,40,50,80,70,60,60,36,31,7,21,Leg
Yahar'gul Black Trousers,60,60,60,60,40,40,40,26,21,24,21,Leg
Yharnam Hunter Trousers,50,60,60,50,50,60,60,27,23,24,27,Leg
